,partitions,subjects,regressors,weights
0,0,0,0,0.38555077747475935
1,0,1,0,0.3051778573743578
2,0,2,0,0.3161672540112496
3,0,3,0,0.29245407279970725
4,0,4,0,0.34576144159282246
5,0,5,0,0.15661658482150637
6,0,6,0,0.23517802737309873
7,0,0,1,0.12662704871316915
8,0,1,1,0.11199896289722389
9,0,2,1,0.11094455968529932
10,0,3,1,0.07715722086923221
11,0,4,1,0.11742912538746048
12,0,5,1,0.0702385189607253
13,0,6,1,0.10564279816463129
14,1,0,0,0.1261143711295763
15,1,1,0,0.10641194851307806
16,1,2,0,0.17044158690999808
17,1,3,0,0.11562725983015022
18,1,4,0,0.14987673224570805
19,1,5,0,0.03255528870918692
20,1,6,0,0.1165870075421642
21,1,0,1,0.09478633404923531
22,1,1,1,0.05021455478595738
23,1,2,1,0.0679295974709988
24,1,3,1,0.03079652543745115
25,1,4,1,0.07133850810332731
26,1,5,1,0.05849616612749342
27,1,6,1,0.06241671954236616
